participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.payable_round,player.payoff_for_trade,player.hl_switch_point,player.hl_draw_row,player.hl_draw_option,player.hl_draw_random,player.savings_interest,player.inflation_effect,player.bid_price_definition,player.mortgage_comparison,player.asset_fluctuations,player.investment_risk,player.long_term_returns,player.stock_mutual_fund_loss,player.bid_ask_spread,player.mutual_fund_statements,player.bond_investment,player.credit_card_payment,player.num_quiz_questions,player.num_correct_answers,player.payoff_for_quiz,player.payoff_for_quiz_expected,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.pilot_difficulty,player.pilot_instruction_clarity,player.pilot_unclear_open,player.pilot_payoff_understanding,player.pilot_interface_clarity,player.pilot_tech_issues,player.pilot_tech_issues_desc,player.pilot_flow_unsure_steps,player.pilot_one_change,player.pilot_surprises_mismatch,player.pilot_missing_info,player.pilot_confusing_wording,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
16,sxlq43kg,69f738d836d98271b8934f45,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:17.294126,1,,,127.63,16,,127.63,3,0.0,6,1,A,0.9362436518056444,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,25,United Kingdom,undergraduate: 3d year,Other,0,0,1,1,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
17,vyvxvcz2,69447887f465fef0f69bf56e,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:26.872925,1,,,123.29,17,,123.29,3,0.0,7,8,B,0.4120460634782228,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,32,Canada,undergraduate: 4th year,Other Management,1,1,1,1,Daily,Multiple times a day,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
18,wxbterbk,6a19cd14a8951b68e7872287,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:30.720203,1,,,111.67,18,,111.67,14,0.0,5,2,A,0.6529023579081314,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She is liable for the company's debts,Between 5 and 10 years,12,10,2.5,3.0,Male,35,United Kingdom,master,Other Management,0,0,1,0,Less than once a month,Less than once a month,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
19,sfy8vxh6,6a0f7bc47d616931dfb13e21,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:38.454895,1,,,118.19,19,,118.19,10,0.0,7,1,A,0.2388098330480234,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,Don't know / Not sure,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,11,2.75,3.0,Male,42,United States,master,Finance,1,1,1,1,Monthly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
20,ejrs8ygn,6a1630b6678d30cff18d6d6a,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:42.912134,1,,,121.6,20,,121.6,6,0.0,6,2,A,0.6352536583239956,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,57,Canada,undergraduate: 2nd year,Other Management,1,1,1,1,Weekly,Daily,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
21,s6c7n3gu,653d9bd37da5636bc74b625a,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:09.594436,1,,,126.93,21,,126.93,13,0.0,10,6,A,0.25437616810243024,More than $112,Less than today,Don't know / Not sure,Don't know / Not sure,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She owns a part of firm B,Between 10 and 15 years,12,8,2.0,3.0,Female,28,Canada,master,Other,0,0,1,1,Monthly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
22,sopeiskq,63e40cde6487028afe7bec5d,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:13.472446,1,,,107.51,22,,107.51,8,0.0,6,9,B,0.6520249589847579,More than $112,Less than today,The most recent price at which the security traded.,True,Stocks,Decrease,Stocks,False,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She owns a part of firm B,Between 10 and 15 years,12,8,2.0,3.0,Male,35,United States,master,Other,1,1,1,1,Monthly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
23,2kbjq06y,5df2148f55742510c539232e,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:13.960531,1,,,138.61,23,,138.61,7,0.0,10,3,A,0.4180249892224106,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Bonds,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,11,2.75,3.0,Male,37,United Kingdom,PhD,Other,0,1,1,0,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
24,kfyazix7,6a0e2ad147f6240092b0b079,0,23,51,main,DataFeeDecision,2026-06-30 21:23:19.698613,1,,,416.21,24,,0.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
25,5u0rqcjo,6a032a0fa681b9f50187ab7b,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:23.130841,1,,,117.1,25,,117.1,6,0.0,5,9,B,0.9301415288165343,Less than $112,Less than today,The lowest price a seller is currently willing to accept.,Don't know / Not sure,Stocks,Don't know / Not sure,Stocks,True,Don't know / Not sure,Don't know / Not sure,Prefer not to say,Prefer not to say,12,4,1.0,3.0,Male,43,Italy,master,Other,0,1,1,1,Less than once a month,Daily,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
26,p77dr61g,69dc1e5832012277110d7fa5,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:23.630621,1,,,137.2,26,,137.2,11,0.0,10,1,A,0.8103669971706037,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,34,United States,undergraduate: 2nd year,Other,0,0,1,1,Monthly,Monthly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
27,rog3kntz,69ef7cc445b73b36f20ca693,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:39.081890,1,,,111.71,27,,111.71,12,0.0,5,3,A,0.027025004156719268,More than $112,Less than today,Don't know / Not sure,True,Stocks,Decrease,Bonds,True,Prefer not to say,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,9,2.25,3.0,Female,27,Canada,master,Other,0,0,0,1,Weekly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
28,so1mt492,62c8945a3d4a6825d4996a2f,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:45.070171,1,,,115.49,28,,115.49,4,0.0,6,2,A,0.7462128608953995,More than $112,Less than today,Don't know / Not sure,True,Stocks,Decrease,Stocks,True,Don't know / Not sure,Don't know / Not sure,She owns a part of firm B,Never,12,8,2.0,3.0,Male,42,United Kingdom,undergraduate: 4th year,Other,0,0,1,1,Monthly,Monthly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
29,8e19cjdk,6a1f6faaf426fe170ae99881,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:45.811204,1,,,117.18,29,,117.18,10,0.0,6,5,A,0.6681820559894247,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,48,Canada,undergraduate: 4th year,Other,1,1,1,1,Weekly,Multiple times a day,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
30,u7ma4qaa,6a117eb264af420864cf0bb4,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:49.494075,1,,,117.92,30,,117.92,10,0.0,6,3,A,0.4731683689726851,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,36,United Kingdom,undergraduate: 3d year,Other,1,1,1,1,Monthly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
31,hal614nf,6976ae2360e60c787e85f239,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:51.212858,1,,,123.39,31,,123.39,12,0.0,6,6,B,0.9609316348485918,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,20,Canada,undergraduate: 4th year,Other,0,1,1,1,Daily,Daily,"Derivatives (Options, Futures)",,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
32,q1vhf6tc,668dc78c1b388adf48d7f329,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:53.143851,1,,,117.75,32,,117.75,4,0.0,5,3,A,0.6886531946060216,More than $112,Less than today,The price you personally choose when submitting a buy order.,True,Stocks,Decrease,Stocks,False,The average of the bid price and the ask price.,"Once one invests in a mutual fund, one cannot withdraw the money in the first year",She owns a part of firm B,Between 10 and 15 years,12,6,1.5,3.0,Female,50,Jamaica,master,Other,0,0,1,1,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
33,b6gfnab4,69a0e7a04e8ff7f9964b7f47,0,51,51,post_exp,FinalForProlific,2026-06-30 21:23:55.844128,1,,,130.48,33,,130.48,3,0.0,5,1,A,0.7707111704002214,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,20,Canada,undergraduate: 4th year,Other,1,1,1,1,Weekly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
34,9w4l8rts,6a0bfa956af23415f5cb82c3,0,51,51,post_exp,FinalForProlific,2026-06-30 21:24:00.152569,1,,,134.15,34,,134.15,4,0.0,1,9,B,0.48658376384150104,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,24,Nepal,undergraduate: 1st year,Other,0,0,1,1,Less than once a month,Less than once a month,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
35,83xw2lmq,60185b020c29360c5588cf22,0,51,51,post_exp,FinalForProlific,2026-06-30 21:24:01.624806,1,,,112.3,35,,112.3,6,0.0,10,2,A,0.041291047424097616,More than $112,Less than today,The highest price a buyer is currently willing to pay.,Don't know / Not sure,Stocks,Decrease,Bonds,Don't know / Not sure,Don't know / Not sure,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She owns a part of firm B,Between 5 and 10 years,12,6,1.5,3.0,Male,30,Canada,undergraduate: 4th year,Other,1,1,1,1,Monthly,Daily,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
36,msr0c8u5,6a21f4c12774bbcebeeca3e7,0,51,51,post_exp,FinalForProlific,2026-06-30 21:24:03.591659,1,,,110.17,36,,110.17,10,0.0,1,5,B,0.6008520915841362,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,None of the above,12,11,2.75,3.0,Male,33,United Kingdom,undergraduate: 4th year,Other,0,1,1,1,Weekly,Daily,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
37,wevu7xok,66c6683f6336ebf638da4db4,0,51,51,post_exp,FinalForProlific,2026-06-30 21:24:05.207558,1,,,116.44,37,,116.44,3,0.0,11,9,A,0.5381246317689479,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 10 and 15 years,12,11,2.75,3.0,Male,58,Canada,undergraduate: 4th year,Other,0,1,1,0,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
38,g3qgi7y4,6a0b111608a2b50d2e9f6040,0,51,51,post_exp,FinalForProlific,2026-06-30 21:24:09.631207,1,,,124.29,38,,124.29,13,0.0,6,1,A,0.3795642899492674,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The change in the stock price from market open to market close.,None of the above,She is liable for the company's debts,Never,12,9,2.25,3.0,Male,32,United Kingdom,undergraduate: 3d year,Other,0,0,1,1,Daily,Weekly,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
39,z2j5h4d2,698b39ff3d496d059a22c9f5,0,51,51,post_exp,FinalForProlific,2026-06-30 21:24:25.458491,1,,,117.25,39,,117.25,4,0.0,2,7,B,0.34634036269076984,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,36,United States,undergraduate: 4th year,Other,1,0,1,1,Monthly,Monthly,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
40,uxs71905,696052c668bf5df05dc13a7a,0,51,51,post_exp,FinalForProlific,2026-06-30 21:26:01.653538,1,,,142.73,40,,142.73,9,0.0,6,8,B,0.7314383124176979,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",None of the above,Between 10 and 15 years,12,10,2.5,3.0,Female,45,Canada,undergraduate: 4th year,Other,0,0,1,1,Multiple times a day,Daily,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
41,zgopdtbb,69ffb64219d501a81d7e40c6,0,51,51,post_exp,FinalForProlific,2026-06-30 21:26:45.785048,1,,,119.17,41,,119.17,4,0.0,6,2,A,0.2494878015219527,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 10 and 15 years,12,11,2.75,3.0,Male,31,United Kingdom,undergraduate: 3d year,Other,0,1,0,0,Less than once a month,Monthly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
42,x27fygv2,5a5f7c21ac56240001543340,0,51,51,post_exp,FinalForProlific,2026-06-30 21:27:18.073995,1,,,128.79,42,,128.79,9,0.0,8,4,A,0.4881143299237928,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Female,41,United Kingdom,master,Finance,1,1,1,1,Less than once a month,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
43,l531yvqb,6a0707fe48e88cfc234956ab,0,51,51,post_exp,FinalForProlific,2026-06-30 21:27:29.400406,1,,,117.91,43,,117.91,10,0.0,11,3,A,0.2879211015203452,More than $112,Less than today,Don't know / Not sure,True,Stocks,Decrease,Stocks,True,Don't know / Not sure,Don't know / Not sure,She owns a part of firm B,Between 10 and 15 years,12,7,1.75,3.0,Female,30,United Kingdom,master,Other,0,0,1,1,Weekly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
44,wywjchig,69e1896d53cc4bb48204689f,0,51,51,post_exp,FinalForProlific,2026-06-30 21:27:48.755819,1,,,109.62,44,,109.62,8,0.0,6,3,A,0.32188315944027257,More than $112,Less than today,The price you personally choose when submitting a buy order.,False,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,10,2.5,3.0,Male,30,Canada,undergraduate: 4th year,Other,0,1,1,1,Weekly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
